city,area,expenditures,communal_meal_parti,common_purchase_food_parti,community_workshop_parti,work_exchange_parti,fundraising_parti,communal_child_care_parti,prepare_for_fund_parti,communal_construction_parti,property_invasion_parti,security_committee_parti,election_champaign_parti,denomination,religiousness,bins,n_bins,binnr,score2_1,score2_2,score2_1sq,score2_2sq,score2_1cu,score2_2cu,moremoneyold,moremoneynew,winnersvsalwayslosers,losersvsalwayswinners,group,householdsize,ageresponder,schooling_resp,protestant,attendance,attendpermonth,Received_BDH
sto domingo,bamboli,400,1,1,0,0,1,0,1,1,0,0,0,catholic,3,39.799999,139,21,3.5619988,3.5619988,12.687836,12.687836,45.194057,45.194057,1,0,,0,losers,4,63,4,0,once a week,4,0
sto domingo,bamboli,100,0,0,0,0,0,0,0,1,0,1,1,catholic,6,35,146,9,-1.4419991,0,2.0793614,0,-2.9984372,0,1,1,,1,always-winners,4,45,3,0,once a month,1,1
sto domingo,bamboli,400,0,0,0,0,0,0,0,0,0,0,0,catholic,8,39.400002,133,20,3.1140008,3.1140008,9.6970005,9.6970005,30.196468,30.196468,1,0,,0,losers,5,36,6,0,only for special occasions,0,0
sto domingo,chiguilpe,250,0,0,0,0,1,0,0,1,0,0,0,catholic,10,38.599998,126,18,2.2899995,2.2899995,5.2440977,5.2440977,12.008981,12.008981,0,0,0,,always-losers,5,28,8,0,once a month,1,0
sto domingo,chiguilpe,200,0,0,0,0,0,0,0,1,0,0,0,catholic,10,33,102,4,-3.4209991,0,11.703235,0,-40.036755,0,1,1,,1,always-winners,6,29,6,0,once a week,4,0
sto domingo,santo domingo,300,0,0,0,0,0,0,0,0,0,0,0,catholic,5,38.599998,126,18,2.2619996,2.2619996,5.116642,5.116642,11.573843,11.573843,0,0,0,,always-losers,2,39,4,0,once a month,1,0
sto domingo,santo domingo,200,0,0,0,0,0,0,0,0,0,0,0,catholic,3,36.200001,171,12,-.20599899,0,.042435583,0,-.0087416871,0,1,1,,1,always-winners,4,24,6,0,once a month,1,0
sto domingo,santo domingo,1500,0,0,1,0,1,0,1,1,0,1,0,non-catholic christian,10,38.200001,139,17,1.8389992,1.8389992,3.381918,3.381918,6.2193441,6.2193441,1,0,,0,losers,4,26,15,1,2 to 3 times a week,10,0
sto domingo,santo domingo,300,0,0,0,0,0,0,0,0,0,0,0,catholic,5,37.799999,110,16,1.3690017,1.3690017,1.8741658,1.8741658,2.5657363,2.5657363,1,0,,0,losers,8,42,12,0,once a week,4,0
sto domingo,santo domingo,300,0,0,0,0,0,0,0,0,0,0,0,other,8,38.599998,126,18,2.3739991,2.3739991,5.6358719,5.6358719,13.379555,13.379555,0,0,0,,always-losers,3,43,9,0,2 to 3 times a week,10,0
sto domingo,santo domingo,300,0,0,0,0,1,0,0,1,0,0,0,catholic,2,40.599998,144,23,4.1729989,4.1729989,17.413919,17.413919,72.668266,72.668266,0,0,0,,always-losers,2,55,8,0,only for special occasions,0,0
sto domingo,santo domingo,400,1,0,0,1,0,0,0,1,0,0,0,catholic,10,36.200001,171,12,-.24699935,0,.061008681,0,-.015069105,0,1,1,,1,always-winners,5,46,8,0,once a week,4,1
sto domingo,santo domingo,223,0,0,0,0,0,0,0,0,0,0,0,non-catholic christian,10,34.599998,120,8,-1.9989983,0,3.9959941,0,-7.9879856,0,0,1,1,,winners,4,40,9,1,once a week,4,1
sto domingo,santo domingo,200,0,0,0,0,0,0,0,0,0,0,0,catholic,1,34.200001,121,7,-2.3840003,0,5.6834574,0,-13.549364,0,0,1,1,,winners,5,48,2,0,only for special occasions,0,1
sto domingo,santo domingo,300,0,0,0,1,0,0,0,0,0,0,0,catholic,6,35.799999,117,11,-.59100115,0,.34928235,0,-.20642628,0,0,1,1,,winners,3,27,11,0,once a week,4,1
